count,Participant ID,Condition_String,Condition_Numeric,Gender_String,Gender_Numeric,Age_Group_String,Age_Group_Numeric,Location_String,Location_Numeric,First,Commitment_First,Commitment_First_and_Second,Help_N/Y,Helping_Latency,Approach_N/Y,Commitment_Latency,Latency_ceiling,Leave_Taking_Type,Leave_Taking_Type_Recoded,Number_of_Erasers_Shared,Number_of_Erasers_Shared_Recoded,Age (years),Age (days),,AgeStndrd,,,,
62,1,We,1,Female,1,Older,1,MOLS,0,3,99,3,1,44,0,99,60,99,99,0,0,3.909758,1427.06167,1287.032538,0.665562045,,,,
33,2,You,0,Male,0,Younger,0,MOLS,0,2,99,99,1,14,0,99,60,99,99,0,0,3.1513525,1150.243663,210.3923045,-0.650161019,,,,
34,3,You,0,Male,0,Younger,0,MOLS,0,3,99,3,1,32,0,99,60,99,99,4,1,3.3375315,1218.198998,,-0.327167575,,,,
49,4,We,1,Male,0,Younger,0,MOLS,0,2,99,99,0,99,0,99,60,99,99,3,1,3.4744278,1268.166147,,-0.089672436,,,,
53,5,We,1,Male,0,Older,1,MOLS,0,3,99,3,1,10,0,99,60,99,99,2,0,3.5702552,1303.143148,,0.076574143,,,,
36,6,You,0,Male,0,Older,1,MOLS,0,3,99,3,1,19,0,99,60,99,99,0,0,3.5976344,1313.136556,,0.124073067,,,,
54,8,We,1,Male,0,Older,1,Marbles,1,3,99,3,1,5,0,99,60,99,99,2,0,4.350564,1587.95586,,1.430296242,,,,
41,9,You,0,Female,1,Younger,0,Marbles,1,2,99,99,1,7,1,40,40,0,0,0,0,3.3676487,1229.191776,,-0.27491862,,,,
37,10,You,0,Male,0,Older,1,Marbles,1,3,99,3,1,21,0,99,60,99,99,2,0,3.7208411,1358.107002,,0.337818744,,,,
50,11,We,1,Male,0,Younger,0,Marbles,1,2,99,99,1,41,1,18,18,0,0,0,0,2.7078086,988.350139,,-1.419645073,,,,
51,12,We,1,Male,0,Younger,0,Lab,2,3,99,3,1,5,1,43,43,2,1,3,1,2.8145877,1027.324511,,-1.234398889,,,,
42,13,You,0,Female,1,Younger,0,MOLS,0,2,99,99,1,44,0,99,60,99,99,0,0,2.6157191,954.7374715,,-1.579406941,,,,
38,14,You,0,Male,0,Older,1,MOLS,0,3,99,3,1,12,0,99,60,99,99,0,0,4.0603439,1482.025524,,0.926806645,,,,
55,15,We,1,Male,0,Older,1,MOLS,0,2,99,99,1,41,1,48,48,0,0,4,1,3.8549995,1407.074818,,0.570564024,,,,
43,18,You,0,Female,1,Younger,0,MOLS,0,3,99,3,1,48,1,46,46,0,0,2,0,3.2526558,1187.219367,,-0.47441455,,,,
56,19,We,1,Male,0,Older,1,MOLS,0,2,99,99,1,9,0,99,60,99,99,3,1,4.462819,1628.928935,,1.625042314,,,,
57,21,We,1,Female,1,Younger,0,Marbles,1,2,99,99,0,24,1,41,41,1,1,1,0,2.568174351,937.3836382,,-1.661890154,,,,
63,23,We,1,Female,1,Older,1,Marbles,1,3,99,3,1,5,0,99,60,99,99,2,0,4.150695433,1515.003833,,1.083553394,,,,
39,26,You,0,Male,0,Older,1,Marbles,1,3,99,3,1,41,0,99,60,99,99,1,0,3.833096046,1399.080057,,0.532564723,,,,
52,28,We,1,Male,0,Younger,0,MOLS,0,3,99,3,1,41,0,99,60,99,99,1,0,3.236228233,1181.223305,,-0.502913985,,,,
58,31,We,1,Female,1,Younger,0,Lab,2,2,99,99,1,18,1,19,19,1,1,0,0,2.644836272,965.3652393,,-1.528892889,,,,
59,32,We,1,Female,1,Younger,0,Marbles,1,3,99,3,1,6,0,99,60,99,99,2,0,3.438834739,1255.17468,,-0.151421213,,,,
40,34,You,0,Male,0,Older,1,Marbles,1,3,99,3,1,9,0,99,60,99,99,2,0,3.712627314,1355.108969,,0.323569021,,,,
60,36,We,1,Female,1,Younger,0,Marbles,1,2,99,99,98,98,1,55,55,0,0,0,0,3.217062753,1174.227905,,-0.536163302,,,,
64,37,We,1,Female,1,Older,1,Marbles,1,3,99,3,1,27,0,99,60,99,99,3,1,4.251998686,1551.97952,,1.25929978,,,,
44,38,You,0,Female,1,Younger,0,Marbles,1,3,99,3,0,99,0,99,60,99,99,1,0,2.540795094,927.3902092,,-1.709389177,,,,
45,39,You,0,Female,1,Younger,0,Marbles,1,2,99,99,1,41,0,99,60,99,99,0,0,3.430620962,1252.176651,,-0.16567092,,,,
46,40,You,0,Female,1,Younger,0,Lab,2,3,99,3,0,99,1,33,33,2,1,0,0,2.814587668,1027.324499,,-1.234398944,,,,
35,43,You,0,Male,0,Younger,0,Marbles,1,2,99,99,1,17,0,99,60,99,99,2,0,3.07742854,1123.261417,,-0.77840832,,,,
48,44,You,0,Female,1,Older,1,Lab,2,3,99,3,1,11,0,99,60,99,99,3,1,4.10141277,1497.015661,,0.998055152,,,,
61,45,We,1,Female,1,Younger,0,Lab,2,2,99,99,1,51,1,37,37,0,0,0,0,2.809111817,1025.325813,,-1.243898749,,,,
89,47,We,1,Female,1,Younger,0,Lab,2,5,99,5,1,5,1,3,3,1,1,3,1,3.381338298,1234.188479,,-0.251169162,,,,
93,48,We,1,Female,1,Older,1,Lab,2,4,99,99,0,99,0,99,60,99,99,4,1,3.740006571,1365.102398,,0.371068044,,,,
78,49,You,0,Female,1,Older,1,Lab,2,5,99,5,1,14,1,26,26,2,1,0,0,3.537400066,1291.151024,,0.019575271,,,,
65,50,You,0,Male,0,Younger,0,Lab,2,4,99,99,1,25,1,33,33,0,0,0,0,2.579126054,941.3810097,,-1.642890545,,,,
94,51,We,1,Female,1,Older,1,Marbles,1,5,99,5,1,12,0,99,60,99,99,2,0,3.838571898,1401.078743,,0.542064528,,,,
69,55,You,0,Male,0,Older,1,Lab,2,5,99,5,1,47,1,3,3,0,0,6,1,3.827620195,1397.081371,,0.523064918,,,,
66,56,You,0,Male,0,Younger,0,Lab,2,4,99,99,1,13,1,35,35,0,0,6,1,2.732449896,997.344212,,-1.376896014,,,,
86,57,We,1,Male,0,Older,1,Lab,2,5,99,5,1,24,1,41,41,0,0,0,0,3.835833972,1400.0794,,0.537314625,,,,
81,58,We,1,Male,0,Younger,0,Lab,2,4,99,99,1,40,1,46,46,1,1,0,0,3.082904392,1125.260103,,-0.768908516,,,,
79,59,You,0,Female,1,Older,1,Lab,2,5,99,5,1,5,1,9,9,2,1,1,0,3.723579017,1359.106341,,0.34256863,,,,
67,60,You,0,Male,0,Younger,0,Marbles,1,5,99,5,98,98,0,99,60,99,99,0,0,3.430620962,1252.176651,,-0.16567092,,,,
70,62,You,0,Male,0,Older,1,Marbles,1,4,99,99,1,24,1,34,34,0,0,0,0,4.4874603,1637.92301,,1.66779138,,,,
82,64,We,1,Male,0,Younger,0,Marbles,1,4,99,99,1,13,1,4,4,0,0,0,0,2.751615376,1004.339612,,-1.343646698,,,,
76,65,You,0,Female,1,Younger,0,Marbles,1,5,99,5,1,19,1,23,23,0,0,1,0,3.381338298,1234.188479,,-0.251169162,,,,
71,67,You,0,Male,0,Older,1,Lab,2,4,99,99,1,6,1,50,50,0,0,3,1,3.657868799,1335.122111,,0.228570974,,,,
87,68,We,1,Male,0,Older,1,Lab,2,4,99,99,1,11,0,99,60,99,99,0,0,3.893330413,1421.065601,,0.637062574,,,,
83,69,We,1,Male,0,Younger,0,Lab,2,5,99,5,98,98,1,35,35,1,1,0,0,2.51067791,916.3974373,,-1.761638103,,,,
95,70,We,1,Female,1,Older,1,Marbles,1,4,99,99,1,9,0,99,60,99,99,3,1,4.427225934,1615.937466,,1.563293529,,,,
72,71,You,0,Male,0,Older,1,Marbles,1,5,99,5,1,27,1,40,40,0,0,3,1,4.446391414,1622.932866,,1.596542845,,,,
73,72,You,0,Male,0,Older,1,Lab,2,4,99,99,1,17,0,99,60,99,99,2,0,3.761909977,1373.097142,,0.409067263,,,,
90,73,We,1,Female,1,Younger,0,Lab,2,5,99,5,1,54,0,99,60,99,99,3,1,3.403241704,1242.183222,,-0.213169943,,,,
91,74,We,1,Female,1,Younger,0,Lab,2,4,99,99,0,99,0,99,60,99,99,6,1,2.907677144,1061.302157,,-1.072902265,,,,
80,75,You,0,Female,1,Older,1,Lab,2,5,99,5,1,18,0,99,60,99,99,3,1,3.7536962,1370.099113,,0.394817556,,,,
74,76,You,0,Male,0,Older,1,Lab,2,4,99,99,1,10,1,30,30,1,1,3,1,4.191764319,1529.993977,,1.154801929,,,,
96,79,We,1,Female,1,Older,1,Marbles,1,4,99,99,0,99,0,99,60,99,99,0,0,4.235571131,1545.983463,,1.230800366,,,,
77,83,You,0,Female,1,Younger,0,Marbles,1,4,99,99,1,8,0,99,60,99,99,3,1,3.411455481,1245.181251,,-0.198920236,,,,
68,84,You,0,Male,0,Younger,0,Marbles,1,5,99,5,1,10,1,45,45,0,0,5,1,3.263607491,1191.216734,,-0.455414962,,,,
88,87,We,1,Male,0,Older,1,Lab,2,5,99,5,1,50,1,60,60,0,0,98,98,3.969992334,1449.047202,,0.77005984,,,,
27,89,We,1,Female,1,Older,1,Lab,2,0,0,0,1,9,0,99,60,99,99,3,1,4.082247289,1490.020261,,0.964805835,,,,
20,90,We,1,Male,0,Older,1,Lab,2,1,99,1,1,12,0,99,60,99,99,0,0,4.0302267,1471.032746,,0.874557691,,,,
14,91,You,0,Female,1,Older,1,Lab,2,0,0,0,1,9,1,43,43,0,0,3,1,4.084985215,1491.019604,,0.969555738,,,,
1,92,You,0,Male,0,Younger,0,Lab,2,1,99,1,1,8,0,99,60,99,99,0,0,3.351221115,1223.195707,,-0.303418087,,,,
24,93,We,1,Female,1,Younger,0,Lab,2,0,0,0,1,25,0,99,60,99,99,0,0,3.154090461,1151.243018,,-0.645411055,,,,
23,94,We,1,Male,0,Older,1,Lab,2,1,99,1,1,8,0,99,60,99,99,2,0,4.13974373,1511.006462,,1.064553784,,,,
2,95,You,0,Male,0,Younger,0,Lab,2,0,0,0,98,99,1,9,9,0,0,1,0,2.540795094,927.3902092,,-1.709389177,,,,
28,98,We,1,Female,1,Older,1,Marbles,1,0,0,0,1,43,1,25,25,1,1,0,0,4.153433359,1516.003176,,1.088303296,,,,
29,99,We,1,Female,1,Older,1,Marbles,1,1,99,1,1,53,0,99,60,99,99,3,1,4.295805498,1567.969007,,1.335298217,,,,
9,100,You,0,Female,1,Younger,0,Lab,2,1,99,1,1,11,1,22,22,0,0,3,1,3.126711204,1141.249589,,-0.692910078,,,,
30,101,We,1,Female,1,Older,1,Lab,2,0,0,0,1,37,0,99,60,99,99,3,1,4.197240171,1531.992662,,1.164301733,,,,
17,103,We,1,Male,0,Younger,0,Marbles,1,1,99,1,1,6,1,45,45,0,0,2,0,3.238966159,1182.222648,,-0.498164083,,,,
15,104,You,0,Female,1,Older,1,Marbles,1,0,0,0,1,20,0,99,60,99,99,0,0,3.575731026,1305.141825,,0.086073904,,,,
10,106,You,0,Female,1,Younger,0,Marbles,1,1,99,1,1,29,1,28,28,0,0,1,0,2.625670792,958.369839,,-1.562142205,,,,
31,107,We,1,Female,1,Older,1,Marbles,1,0,0,0,1,7,0,99,60,99,99,0,0,3.854999452,1407.0748,,0.570563942,,,,
21,108,We,1,Male,0,Older,1,Marbles,1,1,99,1,1,10,1,28,28,0,0,98,98,4.356039864,1589.95455,,1.439796069,,,,
11,109,You,0,Female,1,Younger,0,Marbles,1,0,0,0,0,99,1,12,12,0,0,0,0,2.759829153,1007.337641,,-1.329396991,,,,
3,110,You,0,Male,0,Younger,0,Lab,2,1,99,1,1,22,1,25,25,0,0,98,98,3.025407951,1104.273902,,-0.868656465,,,,
84,111,We,1,Male,0,Younger,0,Lab,2,5,99,5,1,16,1,15,15,2,1,6,1,3.003504545,1096.279159,,-0.906655683,,,,
16,112,You,0,Female,1,Older,1,Lab,2,0,0,0,1,8,1,8,8,0,0,1,0,3.619537838,1321.131311,,0.162072341,,,,
5,114,You,0,Male,0,Older,1,Marbles,1,1,99,1,1,10,0,99,60,99,99,0,0,4.112364473,1501.013033,,1.017054761,,,,
4,116,You,0,Male,0,Younger,0,Marbles,1,1,99,1,1,12,0,99,60,99,99,0,0,3.482641551,1271.164166,,-0.075422775,,,,
32,120,We,1,Female,1,Older,1,Lab,2,1,99,1,1,6,1,30,30,0,0,3,1,4.421750082,1613.93878,,1.553793724,,,,
25,121,We,1,Female,1,Younger,0,Marbles,1,0,0,0,1,9,1,23,23,0,0,4,1,3.061000986,1117.26536,,-0.806907734,,,,
75,122,You,0,Male,0,Older,1,Lab,2,4,99,99,1,8,0,99,60,99,99,2,0,3.786551309,1382.091228,,0.451816384,,,,
12,123,You,0,Female,1,Younger,0,Lab,2,0,0,0,1,14,0,99,60,99,99,0,0,3.140400832,1146.246304,,-0.669160567,,,,
18,125,We,1,Male,0,Younger,0,Lab,2,1,99,1,1,10,0,99,60,99,99,98,98,3.288248823,1200.21082,,-0.412665841,,,,
6,126,You,0,Male,0,Older,1,Lab,2,0,0,0,1,12,0,99,60,99,99,3,1,4.408060453,1608.942065,,1.530044213,,,,
7,128,You,0,Male,0,Older,1,Lab,2,1,99,1,1,15,0,99,60,99,99,0,0,4.117840324,1503.011718,,1.026554566,,,,
26,131,We,1,Female,1,Younger,0,Lab,2,0,0,0,0,99,0,99,60,99,99,98,98,2.642098346,964.3658964,,-1.533642791,,,,
8,132,You,0,Male,0,Older,1,Lab,2,1,99,1,1,8,1,25,25,0,0,0,0,4.429963859,1616.936809,,1.568043431,,,,
47,134,You,0,Female,1,Older,1,Lab,2,3,99,3,1,7,0,99,60,99,99,0,0,3.956302705,1444.050487,,0.746310328,,,,
13,136,You,0,Female,1,Younger,0,Lab,2,0,0,0,98,98,0,99,60,99,99,0,0,2.932318476,1070.296244,,-1.030153144,,,,
19,137,We,1,Male,0,Younger,0,Lab,2,1,99,1,1,9,1,2,2,0,0,0,0,3.033621728,1107.271931,,-0.854406758,,,,
22,138,We,1,Male,0,Older,1,Lab,2,0,0,0,1,50,0,99,60,99,99,6,1,4.26842624,1557.975578,,1.287799194,,,,
92,139,We,1,Female,1,Younger,0,Lab,2,5,99,5,1,9,1,42,42,1,1,6,1,3.40597963,1243.182565,,-0.208420041,,,,
85,141,We,1,Male,0,Younger,0,Lab,2,5,99,5,1,10,1,2,2,2,1,1,0,2.5626985,935.3849524,,-1.671389959,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,